,date,FFR
5613,1984-01-07,9.375
5614,1984-01-08,9.375
5615,1984-01-09,9.375
5616,1984-01-10,9.375
5617,1984-01-11,9.375
5618,1984-01-12,9.375
5619,1984-01-13,9.375
5620,1984-01-14,9.375
5621,1984-01-15,9.375
5622,1984-01-16,9.375
5623,1984-01-17,9.375
5624,1984-01-18,9.375
5625,1984-01-19,9.375
5626,1984-01-20,9.375
5627,1984-01-21,9.375
5628,1984-01-22,9.375
5629,1984-01-23,9.375
5630,1984-01-24,9.375
5631,1984-01-25,9.375
5632,1984-01-26,9.375
5633,1984-01-27,9.375
5634,1984-01-28,9.375
5635,1984-01-29,9.375
5636,1984-01-30,9.375
5637,1984-01-31,9.375
5638,1984-02-01,9.375
5639,1984-02-02,9.375
5640,1984-02-03,9.375
5641,1984-02-04,9.375
5642,1984-02-05,9.375
5643,1984-02-06,9.375
5644,1984-02-07,9.375
5645,1984-02-08,9.375
5646,1984-02-09,9.375
5647,1984-02-10,9.375
5648,1984-02-11,9.375
5649,1984-02-12,9.375
5650,1984-02-13,9.375
5651,1984-02-14,9.375
5652,1984-02-15,9.375
5653,1984-02-16,9.375
5654,1984-02-17,9.375
5655,1984-02-18,9.375
5656,1984-02-19,9.375
5657,1984-02-20,9.375
5658,1984-02-21,9.375
5659,1984-02-22,9.375
5660,1984-02-23,9.375
5661,1984-02-24,9.375
5662,1984-02-25,9.375
5663,1984-02-26,9.375
5664,1984-02-27,9.375
5665,1984-02-28,9.375
5666,1984-02-29,9.375
5667,1984-03-01,9.375
5668,1984-03-02,9.375
5669,1984-03-03,9.375
5670,1984-03-04,9.375
5671,1984-03-05,9.375
5672,1984-03-06,9.375
5673,1984-03-07,9.375
5674,1984-03-08,9.375
5675,1984-03-09,9.375
5676,1984-03-10,9.375
5677,1984-03-11,9.375
5678,1984-03-12,9.375
5679,1984-03-13,9.375
5680,1984-03-14,9.375
5681,1984-03-15,9.375
5682,1984-03-16,9.375
5683,1984-03-17,9.375
5684,1984-03-18,9.375
5685,1984-03-19,9.375
5686,1984-03-20,9.375
5687,1984-03-21,9.375
5688,1984-03-22,9.375
5689,1984-03-23,9.375
5690,1984-03-24,9.375
5691,1984-03-25,9.375
5692,1984-03-26,9.375
5693,1984-03-27,9.375
5694,1984-03-28,9.375
5695,1984-03-29,10.5
5696,1984-03-30,10.5
5697,1984-03-31,10.5
5698,1984-04-01,10.5
5699,1984-04-02,10.5
5700,1984-04-03,10.5
5701,1984-04-04,10.5
5702,1984-04-05,10.5
5703,1984-04-06,10.5
